Type_1,Type_2,Scale,count_of_type_2,Name,Abbreviation,Description,Extent,Native Resolution (m),start_year,end_year,Citation Key,Citatiion,doi,,,,,,,,,,,,,
Detection,Phenology,local,24,Start of growing season,,Start of growing season (defined by start of greenup). Landsat based. ,,30,1985,2020,,,,,,,,,,,,,,,,
Detection,Phenology,local,24,End of growing season,,Landsat based.,,30,1985,2020,,,,,,,,,,,,,,,,
Detection,Phenology,local,24,Length of growing season,,Landsat based.,,30,1985,2020,,,,,,,,,,,,,,,,
Detection,Phenology,local,24,Number of Vegetation Cycles,num_cycles,Total number of valid vegetation cycles with peak in product year,,500,2001,2023,friedlMCD12Q2MODISTerra+Aqua2019,"(Friedl et al., 2019)",https://doi.org/10.5067/MODIS/MCD12Q2.006,,,,,,,,,,,,,
Detection,Phenology,local,24,First Greenup Date (Cycle 1),greenup_1,"Date when EVI2 first crossed 15% of the segment EVI2 amplitude, cycle 1. Days since Jan 1, 1970",,500,2001,2023,friedlMCD12Q2MODISTerra+Aqua2019,"(Friedl et al., 2019)",https://doi.org/10.5067/MODIS/MCD12Q2.006,,,,,,,,,,,,,
Detection,Phenology,local,24,First Greenup Date (Cycle 2),greenup_2,"Date when EVI2 first crossed 15% of the segment EVI2 amplitude, cycle 2. Days since Jan 1, 1970",,500,2001,2023,friedlMCD12Q2MODISTerra+Aqua2019,"(Friedl et al., 2019)",https://doi.org/10.5067/MODIS/MCD12Q2.006,,,,,,,,,,,,,
Detection,Phenology,local,24,Mid Greenup Date (Cycle 1),mid_greenup_1,"Date when EVI2 first crossed 50% of the segment EVI2 amplitude, cycle 1. Days since Jan 1, 1970",,500,2001,2023,friedlMCD12Q2MODISTerra+Aqua2019,"(Friedl et al., 2019)",https://doi.org/10.5067/MODIS/MCD12Q2.006,,,,,,,,,,,,,
Detection,Phenology,local,24,Mid Greenup Date (Cycle 2),mid_greenup_2,"Date when EVI2 first crossed 50% of the segment EVI2 amplitude, cycle 2. Days since Jan 1, 1970",,500,2001,2023,friedlMCD12Q2MODISTerra+Aqua2019,"(Friedl et al., 2019)",https://doi.org/10.5067/MODIS/MCD12Q2.006,,,,,,,,,,,,,
Detection,Phenology,local,24,Peak EVI2 Date (Cycle 1),peak_1,"Date when EVI2 reached the segment maximum, cycle 1. Days since Jan 1, 1970",,500,2001,2023,friedlMCD12Q2MODISTerra+Aqua2019,"(Friedl et al., 2019)",https://doi.org/10.5067/MODIS/MCD12Q2.006,,,,,,,,,,,,,
Detection,Phenology,local,24,Peak EVI2 Date (Cycle 2),peak_2,"Date when EVI2 reached the segment maximum, cycle 2. Days since Jan 1, 1970",,500,2001,2023,friedlMCD12Q2MODISTerra+Aqua2019,"(Friedl et al., 2019)",https://doi.org/10.5067/MODIS/MCD12Q2.006,,,,,,,,,,,,,
Detection,Phenology,local,24,Maturity Date (Cycle 1),maturity_1,"Date when EVI2 first crossed 90% of the segment EVI2 amplitude, cycle 1. Days since Jan 1, 1970",,500,2001,2023,friedlMCD12Q2MODISTerra+Aqua2019,"(Friedl et al., 2019)",https://doi.org/10.5067/MODIS/MCD12Q2.006,,,,,,,,,,,,,
Detection,Phenology,local,24,Maturity Date (Cycle 2),maturity_2,"Date when EVI2 first crossed 90% of the segment EVI2 amplitude, cycle 2. Days since Jan 1, 1970",,500,2001,2023,friedlMCD12Q2MODISTerra+Aqua2019,"(Friedl et al., 2019)",https://doi.org/10.5067/MODIS/MCD12Q2.006,,,,,,,,,,,,,
Detection,Phenology,local,24,Mid Greendown Date (Cycle 1),mid_greendown_1,"Date when EVI2 last crossed 50% of the segment EVI2 amplitude, cycle 1. Days since Jan 1, 1970",,500,2001,2023,friedlMCD12Q2MODISTerra+Aqua2019,"(Friedl et al., 2019)",https://doi.org/10.5067/MODIS/MCD12Q2.006,,,,,,,,,,,,,
Detection,Phenology,local,24,Mid Greendown Date (Cycle 2),mid_greendown_2,"Date when EVI2 last crossed 50% of the segment EVI2 amplitude, cycle 2. Days since Jan 1, 1970",,500,2001,2023,friedlMCD12Q2MODISTerra+Aqua2019,"(Friedl et al., 2019)",https://doi.org/10.5067/MODIS/MCD12Q2.006,,,,,,,,,,,,,
Detection,Phenology,local,24,Senescence Date (Cycle 1),senescence_1,"Date when EVI2 last crossed 90% of the segment EVI2 amplitude, cycle 1. Days since Jan 1, 1970",,500,2001,2023,friedlMCD12Q2MODISTerra+Aqua2019,"(Friedl et al., 2019)",https://doi.org/10.5067/MODIS/MCD12Q2.006,,,,,,,,,,,,,
Detection,Phenology,local,24,Senescence Date (Cycle 2),senescence_2,"Date when EVI2 last crossed 90% of the segment EVI2 amplitude, cycle 2. Days since Jan 1, 1970",,500,2001,2023,friedlMCD12Q2MODISTerra+Aqua2019,"(Friedl et al., 2019)",https://doi.org/10.5067/MODIS/MCD12Q2.006,,,,,,,,,,,,,
Detection,Phenology,local,24,Dormancy Date (Cycle 1),dormancy_1,"Date when EVI2 last crossed 15% of the segment EVI2 amplitude, cycle 1. Days since Jan 1, 1970",,500,2001,2023,friedlMCD12Q2MODISTerra+Aqua2019,"(Friedl et al., 2019)",https://doi.org/10.5067/MODIS/MCD12Q2.006,,,,,,,,,,,,,
Detection,Phenology,local,24,Dormancy Date (Cycle 2),dormancy_2,"Date when EVI2 last crossed 15% of the segment EVI2 amplitude, cycle 2. Days since Jan 1, 1970",,500,2001,2023,friedlMCD12Q2MODISTerra+Aqua2019,"(Friedl et al., 2019)",https://doi.org/10.5067/MODIS/MCD12Q2.006,,,,,,,,,,,,,
